Institute,Foreign Students
Unalloted,24
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1
IIT Bhubaneswar,1


Institute,Foreign Students
Unalloted,24
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1
IIT Bhubaneswar,1


Institute,Foreign Students
Unalloted,24
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1
IIT Bhubaneswar,1


Institute,Foreign Students
Unalloted,24
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1
IIT Bhubaneswar,1


Institute,Foreign Students
Unalloted,24
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1
IIT Bhubaneswar,1


Institute,Foreign Students
Unalloted,24
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1
IIT Bhubaneswar,1


