Institute,programme,duration,Choices
IIT Bombay,Computer Science and Engineering,4,25481
IIT Delhi,Computer Science and Engineering,4,25064
IIT Kanpur,Computer Science and Engineering,4,24363
IIT Roorkee,Computer Science and Engineering,4,24292
IIT Kharagpur,Computer Science and Engineering,4,24280
IIT Madras,Computer Science and Engineering,4,23741
IIT Hyderabad,Computer Science and Engineering,4,23349
IIT Guwahati,Computer Science and Engineering,4,22263
IIT (BHU) Varanasi,Computer Science and Engineering,4,21199
IIT Indore,Computer Science and Engineering,4,20763
IIT Gandhinagar,Computer Science and Engineering,4,18947
IIT (ISM) Dhanbad,Computer Science and Engineering,4,17390
IIT Bhubaneswar,Computer Science and Engineering,4,17105
IIT Mandi,Computer Science and Engineering,4,16569
IIT Jodhpur,Computer Science and Engineering,4,16506
IIT Ropar,Computer Science and Engineering,4,16326
IIT Delhi,Computer Science and Engineering,5,16188
IIT Patna,Computer Science and Engineering,4,15482
IIT Tirupati,Computer Science and Engineering,4,14048
IIT Goa,Computer Science and Engineering,4,13765
IIT Dharwad,Computer Science and Engineering,4,13517
IIT (BHU) Varanasi,Computer Science and Engineering,5,13135
IIT Bhilai,Computer Science and Engineering,4,12925
IIT Palakkad,Computer Science and Engineering,4,12851
IIT Gandhinagar,Computer Science and Engineering,5,11848
IIT Jammu,Computer Science and Engineering,4,10012
